// cosine fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -2.066  0.248  2.083 -0.738 -0.794  0.518 -1.383  0.307 -0.055  3.701  0.219  1.102
O=[C:1][NX3:2]!@;-[a:3][nH:4] -0.141  1.265 -0.369  2.477 -0.01   1.091 -0.358 -0.268  0.222 -0.4    0.546 -0.195
O=[C:1][NX3H1:2]!@;-[c:3]([cH0]Cl)[cH:4] -2.815  0.23  -2.049  1.493  0.503  0.879  1.241  1.081 -0.954  0.834 -0.636  1.169
O=[C:1][NX3H1:2]!@;-[c:3]([cH0]F)[cH:4] -2.567  1.095 -1.107  1.148 -2.215  1.13   0.268  1.59   0.379  1.587  0.003  1.435
O=[C:1][NX3:2]!@;-[a:3]([cH1])[aH0:4]!@;-O -2.621  0.997 -1.064  1.147 -2.551  0.987  1.419  1.784  0.257  1.386 -1.449  1.009
O=[C:1][NX3:2]!@;-[a:3][aH0:4]  0.095  0.971  0.208 -0.413  0.085  1.24   0.037  2.464 -0.02  -1.047 -0.818  0.498
O=[C:1][NX3H1:2]!@;-[c:3]([cH1])[cH1:4]  5.990e-02  2.652e+00  4.073e+00 -1.495e-02  1.554e+00  1.273e-01 -1.710e-02  1.410e+00  1.998e-03 -7.390e-01 -1.356e+00  2.475e-01
O=[C:1][NX3H0:2]!@;-[c:3]([cH1])[cH1:4]  0.013 -1.092 -2.93   0.836  0.022  1.027  0.498  1.713  0.019  1.339 -0.769  1.423
O=[C:1][NX3H0:2]!@;-[c:3]([cH0])[cH:4]  0.011  1.285  0.166 -0.662  0.007  1.574  2.387  0.149  0.007  1.375  0.654 -0.126
O=[C:1][NX3H1:2]!@;-[c:3]([cH0])[cH:4] -1.     0.291  2.231  0.503  2.42  -0.135  0.534  1.229  0.045  1.239 -0.061  0.851
O=[C:1][NX3H0:2]!@;-[c:3]([cH0])[cH0:4] -0.451  0.757 -1.5    0.832 -0.637  0.689  0.427  0.789 -0.211  0.704 -0.274  0.724
O=[C:1][NX3H1:2]!@;-[c:3]([cH0])[cH0:4]  0.336  1.43   1.566  2.314  0.151  0.821  2.162  0.33   2.096 -0.025 -0.943  0.714
O=[C:1][NX3H0:2]!@;-[a:3][a:4]  0.109  1.58  -0.296 -0.244  0.366  0.134  0.343  1.789  0.093 -0.674 -0.32   1.195
O=[C:1][NX3H1:2]!@;-[a:3][a:4]  6.453e-03  1.054e+00  1.989e+00  2.080e-02 -8.327e-02 -9.072e-02  8.220e-01  2.973e-01  4.175e-04  2.676e+00  3.408e-01 -4.042e-01
[O:1]=[CX3:2]([NX3H1]C)!@;-[NX3H1:3][!#1:4]  0.002  2.057  1.924 -0.547  0.03   0.778  0.064  0.924  0.192 -0.082 -0.346  1.157
[O:1]=[C:2]([!NH1])!@;-[NX3H1:3]([H:4])(c([nX2H0])([nX2H0]))  0.876  0.615 -3.994  1.427 -0.533  1.534  0.197  0.772 -0.296  1.555  0.642  1.695
[O:1]=[C:2]([NH1])!@;-[NX3H1:3]([H:4])(c([nX2H0])([nX2H0])) -1.061  1.309 -1.476  1.39  -0.714  1.392 -1.276  1.175 -0.195  1.886 -0.667  1.244
[O:1]=[C:2]!@;-[NX3H1:3]([H:4])(c([nX2H0])([nX2H0])) -0.911  1.653 -0.833  1.689 -0.78   1.619 -0.744  1.443 -0.64   1.354 -0.412  1.577
[O:1]=[C:2]!@;-[NX3H1:3]([H:4])(cn) -0.809  1.89  -2.523  1.412 -0.283  2.01  -1.574  1.324  0.56   1.023 -0.554  1.336
[O:1]=[C:2]!@;-[NX3H0:3]([a:4])[A]  0.623  1.891 -4.133  1.26  -0.853  1.125 -1.434  0.935 -0.183  2.043 -0.067  1.434
[O:1]=[CX3:2](a)!@;-[NX3H0:3][!#1:4]  0.39   1.196 -3.644  0.948  0.072  1.295  1.056  0.896 -0.767  0.78  -1.417  0.972
[O:1]=[CX3:2]!@;-[NX3H0:3][!#1:4]  1.458e-01  3.072e+00 -2.700e+00  8.845e-01 -1.481e-01  1.553e+00 -2.584e-01  1.203e+00  5.848e+00 -2.777e-03  2.179e-01 -1.223e+00
[O:1]=[CX3:2]!@;-[NX3H1:3][!#1:4]  0.25   1.204  1.003 -1.882 -0.141  1.622 -0.197  1.701 -0.012  1.153 -0.312  1.319
[CH0:1][NX3:2]([CH0])!@;-[c:3][a:4] -0.439  0.812 -3.222  0.686 -0.283  0.366 -0.242  1.943  3.052 -0.063 -0.128  1.864
[CH0:1][NX3:2]([CH1])!@;-[c:3][a:4]  2.499e-03  1.157e+00  5.146e-01  8.491e-01  4.016e-04  5.864e-01  5.314e-01  9.255e-01  4.590e+00  3.014e-03 -8.531e-01  2.009e-01
[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@;-[NX3&r:3][*:4]  8.749e-03  7.112e-01  1.020e-01 -1.021e+00  1.509e-02  5.905e-01  2.365e-02  1.526e+00  2.654e-04  4.063e-01 -1.916e-02  1.300e+00
[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@;-[NX3&r:3][CX4&r:4]  1.010e-02  1.296e+00  1.488e+00 -8.785e-01  5.481e-03  1.559e+00  3.064e-01  9.541e-01  1.673e+00 -1.338e-03 -1.769e-01  1.116e+00
