// cosine**2 fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] -3.491  0.883 -0.872  0.983  0.18   2.639  0.032  1.949  3.136 -0.157 -0.335  0.942
[nX2H0:1][c:2]([nX2H0])!@;-[NX3H1:3][C,c:4] -4.54   1.003  0.583  0.888  1.349  0.817 -0.384  0.618 -0.111  1.24   0.361  1.672
[nX2H0:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] -3.459  2.542 -2.193  2.714  1.535  2.266 -0.134  3.074  0.233  2.703 -1.098  1.099
[a:1][a:2]!@;-[NH1:3][C,c:4] -4.871  1.874  0.342  1.457  1.259  1.668 -1.013  2.02  -0.091  2.104  1.319  1.203
[C:1][NH:2]!@;-[C:3](=[NH2:4])[NH2] -1.981  1.139  0.081 -3.174 -0.012  2.208 -0.399 -0.752 -0.025  2.972 -0.039  2.829
[NH2][C:1](=[NH2])[NH:2]!@;-[CH2:3][C:4] -4.105  0.945 -1.71   1.606 -0.624  2.235 -0.108  3.166  0.055  1.768 -0.024  2.376
[a:1][c:2]!@;-[NX2:3]=[C:4]([NX3])n  0.869  1.256  0.853  1.298 -0.828  0.883  0.215  1.181 -1.023  1.107  0.852  1.312
[nX2:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N  0.755  0.842  4.359  1.471 -1.002  1.177 -3.705  1.008  0.845  0.545  1.63   0.837
[cH0:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N -1.112  1.972 -0.915  2.122 -0.672  2.328 -0.53   2.102 -0.303  2.168 -0.117  2.157
[cH1:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N  5.931  1.4    1.608  0.281 -3.69   0.82  -2.397  0.802  0.132  1.228 -0.642 -0.288
[O:1]=[C:2]([NH1])!@;-[NX3H1:3](C=O)[H:4]  5.878  1.074  5.401  0.91  -0.49  -0.717 -3.67   0.608 -4.045  0.508 -4.452  0.334
[O:1]=[C:2]!@;-[NX3H1:3](C=O)[H:4] -3.644  2.067 -1.878  2.727 -1.149  1.929  0.035  3.009  0.325  3.587  0.427  2.244
[O:1]=[C:2]!@;-[NX3:3](C=O)[*:4] -5.552  1.722 -1.759  2.657 -0.119  2.727  0.626  2.082  0.378  1.554 -0.106  4.931
O=[C:1][NX3H1:2]!@;-[CX3:3]=[NX2:4] -2.351  1.142 -0.138  1.209 -0.191  2.112 -0.324  1.437  0.716 -0.363 -0.057  0.884
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H0:4] -7.065  1.211  1.554  1.785 -0.312  2.49  -3.478  0.39   0.139  1.853  0.251  2.079
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H1:4] -2.046  0.863  0.082  1.277 -0.579  0.684  0.579 -0.489 -0.044  1.807 -0.091  1.133
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H2:4] -0.982  1.092 -0.57   0.317  0.778 -0.31  -0.767  0.419 -0.056  1.256 -0.079  1.954
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*H2:4] -2.995e+00  4.237e-01  1.959e-01  1.299e+00 -9.205e-02  9.522e-01  6.381e-01 -9.407e-01  1.635e-03  2.149e+00 -1.269e-01  1.089e+00
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*H1:4] -1.226  1.664 -0.228  1.669  0.564  1.261  0.801  0.656 -0.214  1.389 -0.244  2.274
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*H0:4] -4.024  2.205  2.316  1.514 -1.124  1.398 -1.102  1.008  0.888  1.747 -0.518  2.043
O=[C:1][NX3H0:2]!@;-[CX3H1:3]=[*:4] -3.695  2.164  2.648  1.492 -1.421  1.87  -0.111  1.362  0.217  1.269 -0.484  1.355
O=[C:1][NX3H1:2]!@;-[CX3H1:3]=[*:4] -1.681  1.275  0.033  2.322 -0.332  1.635  0.382 -1.494 -0.054  2.101 -0.301  0.231
O=[C:1][NX3H1:2]!@;-[CX3:3]=[*:4] -1.614  2.401 -1.27   2.405 -0.809  2.476 -0.43   2.391 -0.154  2.287 -0.012  2.374
O=[C:1][NX3H0:2]!@;-[CX4H2:3][c:4]([cH,nX2H0])[cH,nX2H0] -5.577  1.485  2.683  1.482 -7.174  0.366 -0.383  0.175  0.131  2.939 -0.204  3.114
O=[C:1][NX3H1:2]!@;-[CX4H2:3][c:4]([cH,nX2H0])[cH,nX2H0]  5.795  1.249  2.676  0.546  0.162 -0.258 -2.264  0.45  -2.452  0.5   -1.612  0.49 
O=[C:1][NX3H0:2]!@;-[CX4H2:3][!#1:4]  8.88   0.552  5.922  0.29   5.187  0.232  3.344  0.164  2.31   0.148 -0.275 -0.868
O=[C:1][NX3H1:2]!@;-[CX4H2:3][!#1:4]  7.36   0.602 -0.075  2.19  -0.353  0.378 -0.022  0.69  -3.128  0.031  0.012 -1.032
O=[C:1][NX3H0:2]!@;-[CX4H1:3][H:4]  4.857  0.605 -0.162  0.964  0.697 -0.459  1.579  0.099 -0.019  1.194 -0.171  0.725
O=[C:1][NX3H1:2]!@;-[CX4H1:3][H:4] -1.138  1.122 -1.431  1.21  -0.013  1.979  0.06   0.984  0.647 -0.459 -0.137  1.021
O=[C:1][NX3H0:2]!@;-[CX4H0:3][C:4] -1.508  1.06  -0.106  1.12  -0.003  2.593 -0.195  0.67   0.37  -0.331  2.781 -0.006
O=[C:1][NX3H1:2]!@;-[CX4H0:3][C:4]  0.083  1.491  0.194  0.763 -0.231  1.454  0.069 -0.683 -0.002  1.364  1.587 -0.312
O=[C:1][NX3:2]!@;-[!#1:3][!#1:4]  0.283  0.718  0.656  0.603 -0.139  1.889 -0.026 -0.5    0.051  1.076 -0.55   0.407
O=[C:1][NX3H0:2]!@;-[c:3]([s,o])[n:4]  1.157  0.762 -0.462  0.691  0.935 -0.518 -0.285  0.857 -0.27   0.773 -0.16   1.377
O=[C:1][NX3H1:2]!@;-[c:3]([s,o])[n:4] -5.735  1.082 -0.277  2.595 -1.142  1.408  0.203  2.067  0.038  1.781  0.272  1.421
O=[C:1][NX3:2]!@;-[a:3]([s,o])[a:4] -6.557  1.514 -0.752  3.587  0.791  1.745  0.341  2.262 -0.343  2.578 -0.308  2.863
O=[C:1][NX3H1:2]!@;-[c:3]([cH,nX2H0])[cH,nX2H0:4] -1.123  1.89  -0.29   1.04  -0.602  1.642 -1.885  0.175 -0.174  1.36  -0.583  0.537
O=[C:1][NX3:2]!@;-[a:3]([nX2H0])[cH0:4] -4.514  1.098  1.035  1.629 -1.745  1.252  0.605  1.34  -1.497  1.31   0.723  1.425
O=[C:1][NX3H1:2]!@;-[a:3]([nX2H0])[cH1:4] -3.528  0.663  1.082  2.032 -3.136  0.764  2.423  0.565 -2.678  0.545  2.288  0.445
O=[C:1][NX3:2]!@;-[a:3]([nX2H0])[cH1:4] -6.659  1.452  0.424  1.938  0.141  1.716 -0.292  2.113 -0.128  2.245 -0.245  2.987
O=[C:1][NX3:2]!@;-[a:3][nH:4] -1.757  1.041  0.172  1.118 -0.167  1.269 -0.169  1.475  0.297 -0.755 -0.222  1.106
O=[C:1][NX3H1:2]!@;-[c:3]([cH0]Cl)[cH:4] -6.194  0.989  1.458  1.837 -1.437  1.04  -0.843  0.978  0.328  1.554 -0.191  2.118
O=[C:1][NX3H1:2]!@;-[c:3]([cH0]F)[cH:4] -1.41   1.834  0.263  3.07  -0.408  0.088 -3.043  0.767  1.109  2.228 -1.003  1.656
O=[C:1][NX3:2]!@;-[a:3]([cH1])[aH0:4]!@;-O -2.296  1.083  2.969  1.69  -2.508  1.184 -0.914  1.297 -0.062  1.416  0.046  1.451
O=[C:1][NX3:2]!@;-[a:3][aH0:4]  0.725 -0.227  0.173  1.095 -0.67   1.204  0.615 -0.776 -0.12   1.56  -0.139  1.701
O=[C:1][NX3H1:2]!@;-[c:3]([cH1])[cH1:4]  0.887 -0.127 -0.025  1.563 -1.804  0.367  0.616 -0.695 -0.117  1.545 -0.152  1.889
O=[C:1][NX3H0:2]!@;-[c:3]([cH1])[cH1:4] -4.814  1.018  0.972  1.756 -2.225  0.983  0.523  1.513 -1.758  1.126  0.631  1.622
O=[C:1][NX3H0:2]!@;-[c:3]([cH0])[cH:4] -0.241  0.909  0.683  1.04   1.161 -0.141  0.392 -0.656 -0.12   0.457  0.05   1.929
O=[C:1][NX3H1:2]!@;-[c:3]([cH0])[cH:4]  2.432  0.921  1.504  0.87  -0.359  0.3   -0.077  1.425  0.076 -0.977  4.121 -0.063
O=[C:1][NX3H0:2]!@;-[c:3]([cH0])[cH0:4] -2.184  1.145  0.631  1.06  -0.386  1.041 -0.219  1.829  0.703 -0.51  -0.126  1.52 
O=[C:1][NX3H1:2]!@;-[c:3]([cH0])[cH0:4]  6.127  1.186  3.678  0.392 -0.849  1.568 -4.11   0.364  0.452 -0.913  1.104  0.165
O=[C:1][NX3H0:2]!@;-[a:3][a:4]  2.271  0.066  0.848  1.455  1.16  -0.655  0.589 -0.708 -0.009  1.92  -0.203  1.788
O=[C:1][NX3H1:2]!@;-[a:3][a:4]  0.162  0.523  0.44   1.117  0.879 -0.311  0.996 -0.263 -0.137  0.565 -0.006  1.947
[O:1]=[CX3:2]([NX3H1]C)!@;-[NX3H1:3][!#1:4] -1.977  1.061  0.072  1.749 -0.603  1.318 -0.508  1.257  0.281 -0.824 -0.236  1.754
[O:1]=[C:2]([!NH1])!@;-[NX3H1:3]([H:4])(c([nX2H0])([nX2H0])) -5.515  2.066  0.441  0.69   1.959  1.11  -0.489  2.124 -0.263  3.36   0.168  3.382
[O:1]=[C:2]([NH1])!@;-[NX3H1:3]([H:4])(c([nX2H0])([nX2H0])) -2.11   1.956 -1.228  2.464 -0.515  3.275 -0.205  2.909 -0.033  2.036 -0.21   0.558
[O:1]=[C:2]!@;-[NX3H1:3]([H:4])(c([nX2H0])([nX2H0])) -1.741  1.637 -1.466  1.488 -0.477  2.799 -0.49   1.183 -0.039  2.724  0.017  2.994
[O:1]=[C:2]!@;-[NX3H1:3]([H:4])(cn) -3.612  1.975 -1.745  2.393 -0.484  3.075 -0.126  2.712 -0.157  2.957 -0.227  3.027
[O:1]=[C:2]!@;-[NX3H0:3]([a:4])[A] -6.234e+00  1.671e+00 -9.493e-01  2.825e+00 -5.704e-02  3.360e+00  7.761e-01  2.010e+00 -1.344e-03  2.618e+00 -6.077e-01  2.975e+00
[O:1]=[CX3:2](a)!@;-[NX3H0:3][!#1:4] -6.243  1.107  0.937  2.016 -1.891  1.459  0.989  1.139 -0.522  2.299  0.217  1.799
[O:1]=[CX3:2]!@;-[NX3H0:3][!#1:4] -4.445  1.073 -0.445  1.383 -0.334  1.577 -0.567  1.35   0.217  1.846 -0.206  1.558
[O:1]=[CX3:2]!@;-[NX3H1:3][!#1:4] -3.253  1.16  -0.333  2.    -0.894  0.917 -0.429  1.146 -0.079  1.181  0.005  1.631
[CH0:1][NX3:2]([CH0])!@;-[c:3][a:4] -4.133  1.071 -0.691  1.368 -0.306  1.577 -0.267  1.589  0.105  1.662 -0.073  1.444
[CH0:1][NX3:2]([CH1])!@;-[c:3][a:4]  2.159  0.408  0.507  1.954 -0.436  0.771  1.145 -0.553  0.832 -0.322 -0.194  1.272
[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@;-[NX3&r:3][*:4]  1.183 -0.174  0.745  0.099 -0.064  0.75   2.716 -0.094  0.044  1.503 -0.072  1.675
[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@;-[NX3&r:3][CX4&r:4] -2.641  0.989  0.551  1.064 -0.307  1.282 -1.319  0.282  1.606  0.031  0.05   1.725
[a:1][c:2]!@;-[NX3H1:3][CX4&r:4]([C&r])([C&r]) -3.212  0.964  0.252  1.765 -0.126  1.74  -1.582  0.344  0.16   0.835  1.549  0.131
[cH1:1][c:2]([cH1])!@;-[NX3:3][CX4:4] -3.15   1.073 -0.283  1.074 -0.359  1.529  2.371  0.501  1.244 -0.153  0.119  2.003
[cH0:1][c:2]([cH,nX2H0])!@;-[NX3H1:3][CX4:4] -2.041  1.105  0.17   0.993  0.058  1.834 -1.083  0.026  0.136  0.655  0.998  0.191
[cH0:1][c:2]([cH,nX2H0])!@;-[NX3H0:3][CX4:4] -2.433e+00  9.277e-01  7.621e-02  8.144e-01  2.405e+00 -2.251e-01  1.471e+00  5.633e-01 -3.623e-02  1.791e+00  1.809e-03  1.758e+00
[cH0:1][c:2]([cH0])!@;-[NX3:3][CX4:4] -0.789  0.965  0.565  0.223 -0.041  1.938 -1.231 -0.33  -0.547  0.198 -0.017  0.897
[c:1][c:2](c)!@;-[NX3:3][CX4:4]  7.547e-01  3.332e-01 -2.362e-01 -5.803e-01 -9.989e-02  1.579e+00 -2.588e-01 -1.044e+00 -4.169e-02  2.435e+00 -1.349e-03  5.973e-01
[cH1:1][c:2]([cH1])!@;-[NX3:3][a:4] -1.02   1.367  0.432  0.061 -0.02   1.488  0.982  0.316  0.017 -0.948  0.102  1.877
[cH1:1][c:2]([cH0])!@;-[NX3:3][a:4] -1.997  1.207  0.856  1.027  0.45   0.988  0.434 -0.55  -0.045  1.198 -0.26   0.976
[cH0:1][c:2]([cH0])!@;-[NX3:3][a:4] -2.102  0.724  0.774  1.288  0.145  1.304 -0.066  1.487 -0.179 -0.678 -0.883  0.439
[cH0:1][a:2]!@;-[NX3H0:3][CX3:4]=O  0.227 -0.819  1.628  0.827 -0.023  1.088 -0.173 -0.334  0.072  0.93  -0.265  1.596
[cH0:1][a:2]!@;-[NX3H1:3][CX3:4]=O  3.684  0.662  1.814  0.575  0.925 -0.116  0.303 -0.434 -0.038  1.647 -1.37   0.168
[nX2H0:1][a:2]([nX2H0])!@;-[NX3H0:3][CX3:4]=O -0.671  1.336  1.064  0.551 -0.797  0.803  0.792 -0.546 -0.033  1.473 -0.317  1.192
