// gaussian fits
[O:1]=[C:2]([N])!@;-[O:3]~[C:4] 8.499e-02 1.606e+00 3.373e+00 1.360e-03 1.800e+02 8.651e+00 6.195e-02 3.584e+02 3.423e+00
O=[S:1](=O)[NX3H1:2]!@;-[CX4H2:3][!#1:4] 9.533e-03 8.230e+01 2.047e+01 3.599e-03 1.310e+02 2.438e+01 3.626e-03 2.293e+02 2.358e+01 9.726e-03 2.783e+02 2.015e+01
O=[S:1](=O)[NX3H0:2]!@;-[CX4H1:3][H:4] 1.278e-02 7.940e+01 2.024e+01 1.286e-02 2.814e+02 2.009e+01
O=[S:1](=O)[NX3H1:2]!@;-[CX4H1:3][H:4]  1.162e-02  2.715e+01  1.789e+01  6.637e-03  1.700e+02  8.168e+00  6.741e-03  1.900e+02  9.565e+00  1.063e-02  3.342e+02  1.906e+01  2.426e-03  3.292e+02 -3.482e+00
O=[S:1](=O)[NH1:2]!@;-[c:3][nX2:4] 1.148e-02 3.605e+01 1.908e+01 4.893e-03 1.665e+02 1.371e+01 5.565e-03 1.971e+02 9.772e+00 1.140e-02 3.253e+02 1.916e+01 7.952e-04 3.592e+02 4.419e+00
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH1])[cH1:4] 9.043e-03 2.889e+01 1.185e+01 8.784e-03 1.386e+02 1.296e+01 6.856e-03 1.601e+02 5.893e+00 5.921e-03 1.997e+02 6.204e+00 8.578e-03 2.215e+02 1.393e+01 8.328e-03 3.334e+02 1.313e+01 9.971e-04 3.588e+02 2.831e+00
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH1])[cH1:4]  9.216e-03 -1.589e+01  1.720e+01  4.081e-03  4.584e+01  2.597e+01  2.460e-03  7.030e+01  5.108e+00  4.110e-03  1.376e+02  3.706e+01  2.384e-03  1.808e+02  5.418e+00  4.088e-03  2.109e+02  1.347e+01  3.330e-03  2.411e+02  2.254e+01  2.660e-03  2.897e+02
  4.870e+00  4.119e-03  3.147e+02  2.626e+01  3.281e-03  3.630e+02  1.189e+01
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH1])[cH0:4] 6.416e-03 3.291e+01 1.964e+01 8.227e-03 1.476e+02 1.695e+01 7.793e-03 2.128e+02 1.852e+01 6.738e-03 3.258e+02 1.609e+01 1.887e-03 3.514e+02 9.479e+00
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH1])[cH0:4] 2.250e-03 2.989e+01 8.003e+00 6.757e-03 6.224e+01 1.200e+01 3.803e-03 1.062e+02 4.378e+01 6.509e-03 1.802e+02 5.550e+00 3.543e-03 2.414e+02 3.123e+01 4.065e-03 2.702e+02 5.008e+00 7.251e-03 2.978e+02 1.600e+01
O=[S:1](=O)[NH0:2]!@;-[c:3]([cH0])[cH0:4] 3.706e-03 5.661e+01 2.179e+01 5.322e-03 1.072e+02 1.134e+01 5.928e-03 1.422e+02 2.357e+01 5.895e-03 2.183e+02 2.386e+01 5.343e-03 2.522e+02 1.056e+01 3.505e-03 3.031e+02 2.476e+01
O=[S:1](=O)[NH1:2]!@;-[c:3]([cH0])[cH0:4] 4.235e-03 4.453e+01 1.005e+01 9.533e-03 8.517e+01 1.344e+01 5.516e-03 1.146e+02 1.676e+01 8.489e-03 1.800e+02 5.059e+00 5.516e-03 2.454e+02 1.676e+01 9.533e-03 2.748e+02 1.344e+01 4.235e-03 3.155e+02 1.005e+01
O=[S:1](=O)[N:2]!@;-[c:3][a:4] 4.534e-03 5.060e+01 1.654e+01 6.596e-03 7.488e+01 1.080e+01 8.604e-03 1.038e+02 1.169e+01 5.017e-03 1.300e+02 5.956e+00 4.948e-03 2.305e+02 5.730e+00 7.980e-03 2.571e+02 1.363e+01 7.294e-03 2.873e+02 1.037e+01 4.685e-03 3.128e+02 1.401e+01
[O-:1][N+:2](=O)!@;-[c:3]([cH,nX2H0])[cH,nX2H0:4]  3.561e-03  3.725e+01 -1.763e+01  2.651e-03  1.435e+02 -1.358e+01  2.816e-03  2.977e+02  3.247e+02  3.456e-03  3.797e+02  6.155e-01
[O-:1][N+:2](=O)!@;-[c:3]([cH0])[cH,nX2H0:4] 7.307e-02 1.628e+00 3.106e+00 5.107e-02 1.800e+02 5.250e+00 3.606e-02 3.584e+02 3.161e+00
[O-:1][N+:2](=O)!@;-[c:3]([cH0])[cH0:4] 1.914e-02 1.562e+00 3.294e+00 6.660e-03 2.330e+01 1.520e+01 6.408e-03 1.560e+02 1.554e+01 1.364e-02 1.800e+02 5.407e+00 6.374e-03 2.048e+02 1.590e+01 6.730e-03 3.375e+02 1.486e+01 8.224e-03 3.586e+02 3.794e+00
[O-:1][N+:2](=O)!@;-[c:3][a:4] 1.417e-02 1.594e+00 3.149e+00 3.211e-03 3.115e+01 4.038e+01 4.110e-03 1.398e+02 3.080e+01 6.015e-03 1.800e+02 5.587e+00 4.085e-03 2.209e+02 3.158e+01 3.192e-03 3.294e+02 3.982e+01 6.994e-03 3.584e+02 3.273e+00
[cH0:1][c:2]([cH0])!@;-[NX3H1:3][C,c:4] 4.215e-02 1.620e+00 3.239e+00 3.145e-02 1.800e+02 5.588e+00 5.428e+79 3.067e+03 1.977e+02
[cH0:1][c:2]([cH1])!@;-[NX3H1:3][C,c:4] 2.589e-03 2.770e+01 4.174e+01 4.733e-03 6.453e+01 1.371e+01 5.232e-03 1.187e+02 1.306e+01 2.289e-03 1.809e+02 5.544e+01 5.180e-03 2.426e+02 1.329e+01 4.828e-03 2.957e+02 1.406e+01 2.754e-03 3.291e+02 3.177e+01
[cH0:1][c:2]([nX2H0])!@;-[NX3H1:3][C,c:4] 1.835e-02 1.804e+02 2.931e+01
[cH0:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4]  2.078e+02 -5.772e+02  1.673e+02  3.476e-02  1.804e+02  1.568e+01
[cH1:1][c:2]([cH1])!@;-[NX3H1:3][C,c:4] 9.390e-04 2.566e+01 2.958e+01 1.801e-02 1.793e+02 2.542e+01 5.852e-03 2.019e+02 3.804e+00 1.043e-03 3.321e+02 2.139e+01
[cH1:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4] 1.745e-02 1.538e+00 3.383e+00 1.027e-02 2.190e+01 1.274e+01 6.088e-03 1.603e+02 1.246e+01 1.154e-02 1.800e+02 5.874e+00 6.221e-03 2.004e+02 1.242e+01 1.042e-02 3.389e+02 1.219e+01 9.324e-03 3.586e+02 3.934e+00
[nX2H0:1][c:2]([nX2H0])!@;-[NX3H1:3][C,c:4] 1.010e-02 1.898e+01 9.921e+00 1.059e-02 1.801e+02 3.173e+01 1.036e-02 3.415e+02 9.515e+00
[nX2H0:1][c:2]([nX3H1])!@;-[NX3H1:3][C,c:4]  1.850e-01 -3.661e+01  2.970e+01  1.333e-02  1.802e+02  1.132e+01  2.170e-02  3.591e+02  1.507e+01
[a:1][a:2]!@;-[NH1:3][C,c:4]  1.356e+67 -3.172e+03  2.522e+02  4.125e-02  1.800e+02  5.299e+00  9.956e-03  3.564e+02  2.005e+01
[C:1][NH:2]!@;-[C:3](=[NH2:4])[NH2]  3.166e+04 -6.445e+02  1.679e+02  3.151e-04  2.168e+02  9.809e+01  9.673e-03  1.801e+02  2.652e+01  6.953e-03  3.517e+02  2.620e+01
[NH2][C:1](=[NH2])[NH:2]!@;-[CH2:3][C:4] 2.894e-02 1.629e+00 3.016e+00 2.061e-02 1.800e+02 2.126e+01 2.894e-02 3.584e+02 3.016e+00
[a:1][c:2]!@;-[NX2:3]=[C:4]([NX3])n 2.971e-02 6.969e+01 5.059e+00 2.971e-02 1.399e+02 5.059e+00 2.971e-02 2.301e+02 5.059e+00 2.971e-02 2.903e+02 5.059e+00
[nX2:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N 1.963e-02 4.964e+01 6.552e+00 2.486e-02 1.396e+02 5.511e+00 2.486e-02 2.204e+02 5.511e+00 2.057e-02 3.200e+02 5.646e+00
[cH0:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N 1.146e-01 1.626e+00 3.149e+00 9.139e-02 3.584e+02 3.188e+00
[cH1:1][c:2]!@;-[NX2:3]=[C:4]([NX3])N 6.158e-03 7.330e+01 2.307e+01 6.631e-03 1.059e+02 1.041e+01 1.098e-02 1.300e+02 5.352e+00 6.727e-03 1.800e+02 5.059e+00 1.090e-02 2.300e+02 5.298e+00 7.016e-03 2.585e+02 1.434e+01 6.491e-03 2.801e+02 6.442e+00 6.621e-03 3.023e+02 1.007e+01
[O:1]=[C:2]([NH1])!@;-[NX3H1:3](C=O)[H:4] 1.697e-02 4.947e+01 5.745e+00 1.479e-03 6.753e+01 4.311e+01 1.071e-02 1.352e+02 1.153e+01 1.050e-02 2.263e+02 1.191e+01 1.362e-03 2.959e+02 4.503e+01 1.451e-02 3.109e+02 6.834e+00
[O:1]=[C:2]!@;-[NX3H1:3](C=O)[H:4] 1.015e-01 1.629e+00 3.063e+00 2.208e-02 1.800e+02 5.854e+00 6.060e-02 3.584e+02 3.084e+00
[O:1]=[C:2]!@;-[NX3:3](C=O)[*:4] 4.218e-02 1.618e+00 3.260e+00 5.092e-02 1.801e+02 6.083e+00 2.730e-02 3.584e+02 3.331e+00
O=[C:1][NX3H1:2]!@;-[CX3:3]=[NX2:4]  4.534e+41 -1.274e+03  1.282e+02  1.394e-02  1.802e+02  8.141e+00  8.680e+41  1.762e+03  1.403e+02
O=[C:1][NX3H0:2]!@;-[CX3:3]=[*H0:4]  2.516e-02  1.622e+00  3.229e+00  6.510e+57 -4.488e+04  3.794e+03  2.546e-02  1.802e+02  1.414e+01  7.861e+58  2.899e+03  2.143e+02
